date,category,amount,description
2024-03-01,机票,850.0,北京-昆明机票
2024-03-01,交通,25.0,机场大巴
2024-03-01,住宿,280.0,酒店住宿
2024-03-01,晚餐,85.0,云南米线
2024-03-02,早餐,25.0,酒店早餐
2024-03-02,门票,130.0,石林门票
2024-03-02,交通,45.0,石林往返交通
2024-03-02,午餐,60.0,石林午餐
2024-03-02,住宿,280.0,酒店住宿
2024-03-02,晚餐,120.0,野生菌火锅
2024-03-03,早餐,20.0,街边早餐
2024-03-03,门票,40.0,翠湖公园
2024-03-03,门票,0.0,云南大学
2024-03-03,午餐,55.0,云南菜
2024-03-03,购物,180.0,普洱茶
2024-03-03,住宿,280.0,酒店住宿
2024-03-03,晚餐,90.0,烧烤
2024-03-04,早餐,25.0,米线
2024-03-04,门票,75.0,西山索道
2024-03-04,交通,15.0,公交地铁
2024-03-04,午餐,70.0,农家菜
2024-03-04,购物,120.0,鲜花饼
2024-03-04,住宿,280.0,酒店住宿
2024-03-04,晚餐,150.0,过桥米线
2024-03-05,早餐,20.0,早餐
2024-03-05,购物,200.0,纪念品
2024-03-05,午餐,65.0,告别午餐
2024-03-05,交通,25.0,机场大巴
2024-03-05,机票,780.0,昆明-北京机票
